,new_ent_rate3,new_ent_rate4,perm_ent4,ent_rate4,MASE > 1,MASE > 2
Q1,0.8498070876921073,0.6381041933078958,0.8188598805601613,0.5120129540109148,False,False
Q2,0.7243737417660027,0.568574852099456,0.7792045547446104,1.5157101741075198,False,False
Q3,0.6645854347408142,0.4400695606356252,0.6989038536747753,1.2313074711131688,False,False
Q4,0.4968385741540989,0.06220279180094328,0.7381443453255795,0.0346893076360977,False,False
Q5,0.2898681751006428,0.118685776431037,0.6125466623797754,0.380778763619705,False,False
Q6,0.8767452482697349,0.6518741909768162,0.8088897445020672,1.5741539669590412,False,False
Q7,0.894344093274138,0.7689858018806603,0.9465378324468932,2.079328272301991,False,False
Q8,0.8296313178738791,0.6404326418464519,0.8818341639347493,1.6096749961926922,False,False
Q9,0.7127751706903096,0.5910163820908032,0.8403633976016468,1.46306828399277,False,False
Q10,0.8987080639079756,0.8810614889223833,0.8193598067015716,1.6886201905786364,False,False
Q11,0.8913133626998975,0.7044830907419942,0.929313242800194,1.793131745407473,False,False
Q12,0.18315057734717394,0.05192885557961903,0.710610670196633,1.0905287968156587,False,False
Q13,0.5007167206279155,0.5685626805595408,0.5873778396773287,1.8085210200366764,False,False
Q14,0.7226952382963482,0.6913331605355563,0.8332553732796955,2.041006657056175,False,False
Q15,0.9290852137357435,0.7266143972254328,0.9164215496387116,1.9804076081959283,False,False
Q16,0.6871554777826745,0.7486408349551243,0.8220697790198827,2.137970078609003,False,False
Q17,0.7167551227783345,0.5650962751569141,0.8469584368744535,2.207940300852591,False,False
Q18,0.68028549432424,0.6814637194286577,0.9418514390869192,1.6324337140300011,False,False
Q19,0.9077499179311241,0.6983570954537126,0.9141233127950154,1.8589902196717465,False,False
Q20,0.9186991221575682,0.825613740295555,0.8736833326867919,1.962798433154808,False,False
Q21,0.9933481271744801,0.930363557809571,0.9070387188909668,2.1053156115205183,False,False
Q22,0.7833272757858085,0.7404240575394955,0.8603751357862082,2.015667915912562,False,False
Q23,0.18717625687320816,0.04523203036729131,0.7123691978930577,1.1779455696649952,False,False
Q24,0.7525282280629788,0.7235416043928218,0.9418514390869192,2.1928872798093444,False,False
Q25,0.9195524864336078,0.8396447586749927,0.9489990398553112,1.9141754141817413,False,False
Q26,0.8071663450588522,0.6559273836924145,0.8009266479729884,1.2696467561460718,False,False
Q27,0.6666875203797481,0.6907235709724004,0.9010955618770484,1.7003035170786156,False,False
Q28,0.9084645165826771,0.8493188814711595,0.8946252504587775,2.090381374434203,False,False
Q29,0.7043843169931521,0.5598722707622757,0.9271510637129824,1.483455930774483,True,False
Q30,0.7556449007248125,0.6420524718268604,0.9267621157191948,1.3732561966595207,False,False
Q31,0.6936317494921437,0.48532897605162034,0.8842223204510269,1.664541895234381,False,False
Q32,0.7349965220575069,0.7936257045337427,0.8936950708713529,1.863446655733564,False,False
Q33,0.5011192335663418,0.5507513326191519,0.6283028692674882,1.7047738353872184,False,False
Q34,0.561065969320691,0.3468418268181357,0.8158006808765202,1.6920482546422166,False,False
Q35,0.6814721814598417,0.736689591513267,0.7831225840224663,1.9569386406241127,False,False
Q36,0.7092112064718429,0.573849106196817,0.8052971442313154,1.8838298762191656,False,False
Q37,0.8776387931548076,0.5143650045669406,0.876206904022478,1.9427902394443877,False,False
Q38,0.8418628811733996,0.7544695568845771,0.9359712889373444,1.7463643350407143,False,False
Q39,0.8283421222264229,0.595948528722305,0.9389113640121318,1.7294161971359188,False,False
Q40,0.6002428590091253,0.5989084229640329,0.7366661720325669,1.0883976955774752,False,False
Q41,0.6986631746915716,0.5810899994887773,0.6688321261112169,2.059504325118033,False,False
Q42,0.712566107150464,0.6236612347043023,0.8101465081560115,2.569368465626092,False,False
Q43,0.40832897183803557,0.23578131206411207,0.7471596646499747,1.3288268311667633,False,False
Q44,0.6652217248206922,0.7891559399272535,0.7241360950951753,2.1924883609618107,False,False
Q45,0.7176103338608394,0.7675701692090025,0.7922070293860807,2.338039703994439,False,False
