V1,perm_ent3,perm_ent4,mse,mape,sym_test
Y1,0.6978427628602853,0.5394006678698485,51652.291911333356,0.0263864933379718,False
Y2,0.8165789366478879,0.705970638896179,238695.08632,0.37547940194458107,False
Y3,0.0,0.0,81571.09614200007,0.028990093608735352,False
Y4,0.16674004704328654,0.14417887878295843,259999.20393400008,0.04879406405433828,False
Y5,0.47873562453360624,0.39564430369230175,90076.62636533333,0.03256311168241694,False
Y6,0.0,0.0,178257.5299213334,0.10033016632489249,False
Y7,0.3682815830570828,0.2859953869312749,757133.6771626669,0.2614808806986727,False
Y8,0.6900909948133923,0.5725237664620204,8168.324840000011,0.03732038317006055,True
Y9,0.24766565595511136,0.21666321782438014,20319.58416066666,0.06170571405528872,False
Y10,0.6798876151288752,0.5505819229602518,70860.92022816668,0.12173792489654935,True
Y11,0.24766565595511136,0.21666321782438014,5168.788338833334,0.049018586327106824,False
Y12,0.0,0.0,10890.646735344983,0.05156278017803668,False
Y13,0.3682815830570828,0.2859953869312749,35791.11402066674,0.024946356169841682,False
Y14,0.4865505093959806,0.3536868102916425,26477.97227133323,0.026874245117136306,False
Y15,0.4410384144272111,0.32642377379345106,42747.43551800008,0.027280364255021103,False
Y16,0.12485943560394205,0.07356441117325659,192741.35776666665,0.14058175363434813,False
Y17,0.3682815830570828,0.2859953869312749,15971.57799333333,0.028841086157785554,False
Y18,0.12485943560394205,0.07356441117325659,61959.4002873333,0.06790212874001726,False
Y19,0.9036979607875619,0.736101985451169,1152985.946298667,0.42817131071774056,True
Y20,0.717104494152742,0.5772745624819162,201235.20643866656,0.05464337641481459,True
Y21,0.7104939976329149,0.6051079959566347,4082152.2867453336,0.22346282844541063,True
Y22,0.8186964434150547,0.606469313934892,2022291.2775486663,0.3688219542610456,True
Y23,0.909720633352594,0.7530747591876048,10386081.515666666,0.42658597381455615,True
Y24,0.9036979607875619,0.7258117226894134,5442802.158308666,0.2974858608231632,True
Y25,0.6022915518507751,0.48351915339329526,96901.00921533338,0.11843871671195767,False
Y26,0.6715923991839724,0.5500115259837248,7252987.792881333,0.44187458393474444,True
Y27,0.7328051641920521,0.606469313934892,239782.20621250014,0.31060562496812455,True
Y28,0.6715923991839724,0.5500115259837248,286790.6447318333,0.36916763370581845,True
Y29,0.6701148133786818,0.5572644339349321,285196.62908383325,0.1360117724844797,True
Y30,0.0,0.0,122002.23060466674,0.07677080797148017,False
Y31,0.9064958863776719,0.7530747591876048,58970.76643433337,0.06682369036676496,True
Y32,0.0,0.0,324317.4949943334,0.11082003031540373,False
Y33,0.3682815830570828,0.21666321782438014,16470.851689666673,0.10586776332622098,False
Y34,0.7044713250678829,0.5227484894855333,14051.305543493318,0.07255603047734119,True
Y35,0.0,0.0,156525.1096543333,0.1206653052489766,False
Y36,0.6242693926574125,0.5179976934656375,11104.134140638334,0.09538792844365247,True
Y37,0.24766565595511136,0.21666321782438014,181586.28009833323,0.11129704140777337,False
Y38,0.8656396294172128,0.7814327868745702,3771696.6942706653,0.23681126585797121,True
Y39,0.7455113808122684,0.6407695946245648,1197170.0592313334,0.1505722089774052,False
Y40,0.42913313131672054,0.34151202718095597,1151.3827446666676,0.00556051931282701,False
Y41,0.5655189027644146,0.4799413183905351,24256.213866666494,0.009268914376968314,False
Y42,0.0,0.0,698507.4089439999,0.12334402823764258,False
Y43,0.2983613953181684,0.2326494683756397,151685.13163733328,0.11509058814855587,False
Y44,0.11096443552698393,0.0951698564259694,99338.60446666651,0.023360770735412432,False
Y45,0.0,0.0,136674.3716000001,0.026422378241423156,False
Y46,0.48502558371822885,0.40032778838432,1118945.5213966668,0.13474658346798582,False
Y47,0.48502558371822885,0.40032778838432,1231228.5192540002,0.14218872339927155,False
Y48,0.8653219331928992,0.7759448024498449,970723.7035499997,0.16792920880839746,False
Y49,0.4966062010963641,0.43538805242130607,18850.87331333336,0.050915116567825526,False
Y50,0.34543228567983597,0.2915365763480195,1968103.8333999987,0.07270110388244815,False
Y51,0.5272050343005216,0.4536257978453259,512475.29951933335,0.08580869407744963,False
Y52,0.0,0.0,8770927.41293333,0.10082935988568566,False
Y53,0.2586360316689621,0.20662675026772157,28442020.614733327,0.2690419511039688,False
Y54,0.0,0.0,2497311.823519999,0.07776451784111264,False
Y55,0.0,0.0,170414.6297273333,0.08208661858120837,False
Y56,0.0,0.0,31421553.837200005,0.20971382818960874,False
Y57,0.0,0.0,19894.01178266668,0.05450524725383091,False
Y58,0.6968703791939136,0.5936190820791115,264681.9580000004,0.04089267506072959,False
Y59,0.5762020172741998,0.4802670846365334,19729.05459999981,0.009625320866418352,False
Y60,0.08156493576201244,0.04719709974012397,10419.236400000033,0.006317223060928687,False
